content,source,cleaned,t,sentiment_score,sentiment
ok,playstore,ok,['ok'],4,positive
Good job! :),playstore,good job,"['good', 'job']",9,positive
mantap,playstore,mantap,['mantap'],5,positive
mantab,playstore,mantab,['mantab'],9,positive
Kita yang bekerja..kita juga yang suruh lapor pajak..ribet amat,playstore,kita yang bekerjakita juga yang suruh lapor pajakribet amat,"['kita', 'yang', 'bekerjakita', 'juga', 'yang', 'suruh', 'lapor', 'pajakribet', 'amat']",1,positive
good pelayanan,playstore,good pelayanan,"['good', 'pelayanan']",12,positive
terbaik,playstore,terbaik,['terbaik'],5,positive
very good,playstore,very good,"['very', 'good']",9,positive
tertarik,playstore,tertarik,['tertarik'],2,positive
ok punya,playstore,ok punya,"['ok', 'punya']",7,positive
good,playstore,good,['good'],9,positive
Mantaap,playstore,mantaap,['mantap'],5,positive
good job 👍,playstore,good job,"['good', 'job']",9,positive
oke,playstore,oke,['oke'],9,positive
selalu ok,playstore,selalu ok,"['selalu', 'ok']",4,positive
Jos mantab,playstore,jos mantab,"['jos', 'mantab']",18,positive
Good,playstore,good,['good'],9,positive
Ok,playstore,ok,['ok'],4,positive
Mantap,playstore,mantap,['mantap'],5,positive
Mantap👍,playstore,mantap,['mantap'],5,positive
BAGUSAN CORETAX,playstore,bagusan coretax,"['bagusan', 'coretax']",2,positive
Keren,playstore,keren,['keren'],9,positive
Respon email dan no hp lambat,playstore,respon email dan no hp lambat,"['respon', 'email', 'dan', 'no', 'hp', 'lambat']",2,positive
Josss,playstore,josss,['josss'],9,positive
Ok... Sip,playstore,ok sip,"['ok', 'sip']",4,positive
"Balasan email lambat,mohon diperbaiki lg",playstore,balasan email lambatmohon diperbaiki lg,"['balasan', 'email', 'lambatmohon', 'diperbaiki', 'lagi']",33,positive
Terima kasih,playstore,terima kasih,"['terima', 'kasih']",1,positive
Mantap.,playstore,mantap,['mantap'],5,positive
Mantap. Sangat berguna.,playstore,mantap sangat berguna,"['mantap', 'sangat', 'berguna']",5,positive
Alangkah baiknya lapor SPT bisa diaplikasi ini juga,playstore,alangkah baiknya lapor spt bisa diaplikasi ini juga,"['alangkah', 'baiknya', 'lapor', 'seperti', 'bisa', 'diaplikasi', 'ini', 'juga']",15,positive
Semoga berhasil melapor SPT tahuna,playstore,semoga berhasil melapor spt tahuna,"['semoga', 'berhasil', 'melapor', 'seperti', 'tahuna']",2,positive
Top,playstore,top,['top'],9,positive
pelayanan pajak prima dan praktis,playstore,pelayanan pajak prima dan praktis,"['pelayanan', 'pajak', 'prima', 'dan', 'praktis']",2,positive
"Proses cepat, thanks",playstore,proses cepat thanks,"['proses', 'cepat', 'thanks']",1,positive
"Apaan, gagalterus pas verifikasi EFIN. Tolong segera diperbaiki.",playstore,apaan gagalterus pas verifikasi efin tolong segera diperbaiki,"['apaan', 'gagalterus', 'pas', 'verifikasi', 'efin', 'tolong', 'segera', 'diperbaiki']",3,positive
"Alhamdulillah,,,, proses permintaan efin sangat cepat, gk perlu waktu lama lgsg dikirim ke email. Mantap",playstore,alhamdulillah proses permintaan efin sangat cepat gk perlu waktu lama lgsg dikirim ke email mantap,"['alhamdulillah', 'proses', 'permintaan', 'efin', 'sangat', 'cepat', 'tidak', 'perlu', 'waktu', 'lama', 'langsung', 'dikirim', 'ke', 'email', 'mantap']",6,positive
Memberi kemudahan dalam masalah layanan perpajakan. Nunggu balasan email utk nanya efin harus saat jam kerja... harus sabar emang,playstore,memberi kemudahan dalam masalah layanan perpajakan nunggu balasan email utk nanya efin harus saat jam kerja harus sabar emang,"['memberi', 'kemudahan', 'dalam', 'masalah', 'layanan', 'perpajakan', 'menunggu', 'balasan', 'email', 'untuk', 'bertanya', 'efin', 'harus', 'saat', 'jam', 'kerja', 'harus', 'sabar', 'memang']",15,positive
Mntap,playstore,mntap,['mntap'],9,positive
Oke,playstore,oke,['oke'],9,positive
Ok 👍,playstore,ok,['ok'],4,positive
tambah mudah aman,playstore,tambah mudah aman,"['tambah', 'mudah', 'aman']",2,positive
Goood,playstore,goood,['goood'],9,positive
Terbaik,playstore,terbaik,['terbaik'],5,positive
Sering gangguan,playstore,sering gangguan,"['sering', 'gangguan']",3,positive
Ok....👍,playstore,ok,['ok'],4,positive
Kebanyakan chapcha,playstore,kebanyakan chapcha,"['kebanyakan', 'chapcha']",2,positive
Ok mantap,playstore,ok mantap,"['ok', 'mantap']",9,positive
Good apps,playstore,good apps,"['good', 'apps']",9,positive
Very good 👍,playstore,very good,"['very', 'good']",9,positive
Lapor pajak semakin mudah,playstore,lapor pajak semakin mudah,"['lapor', 'pajak', 'semakin', 'mudah']",1,positive
"Oke belum berkembang, mulai berkembang, sangat oke berkembang 🤭",playstore,oke belum berkembang mulai berkembang sangat oke berkembang,"['oke', 'belum', 'berkembang', 'mulai', 'berkembang', 'sangat', 'oke', 'berkembang']",5,positive
Jos,playstore,jos,['jos'],9,positive
Bermanfaat,playstore,bermanfaat,['bermanfaat'],9,positive
Mantap ...,playstore,mantap,['mantap'],5,positive
Ok thanks,playstore,ok thanks,"['ok', 'thanks']",7,positive
Ok dl aja,playstore,ok dl aja,"['ok', 'dulu', 'saja']",1,positive
mantap 👍,playstore,mantap,['mantap'],5,positive
sangat bermanfaat,playstore,sangat bermanfaat,"['sangat', 'bermanfaat']",4,positive
Diperbaiki lah,playstore,diperbaiki lah,"['diperbaiki', 'lah']",18,positive
Oke😊😊😊,playstore,oke,['oke'],9,positive
Semoga segera diperbaiki,playstore,semoga segera diperbaiki,"['semoga', 'segera', 'diperbaiki']",6,positive
Pelayanan terbaik,playstore,pelayanan terbaik,"['pelayanan', 'terbaik']",8,positive
Mantap betul penjelasannya,playstore,mantap betul penjelasannya,"['mantap', 'betul', 'penjelasannya']",1,positive
Great good...!!!!,playstore,great good,"['great', 'good']",12,positive
Oke Bagus,playstore,oke bagus,"['oke', 'bagus']",5,positive
Memudahkan dalam lapor pajak,playstore,memudahkan dalam lapor pajak,"['memudahkan', 'dalam', 'lapor', 'pajak']",2,positive
Terimakasih.... 🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏,playstore,terimakasih,['terimakasih'],5,positive
"Sangat bermanfaat dan memudahkan dalam pelaporan SPT tahunan, mudah dan praktis. Terima kasih",playstore,sangat bermanfaat dan memudahkan dalam pelaporan spt tahunan mudah dan praktis terima kasih,"['sangat', 'bermanfaat', 'dan', 'memudahkan', 'dalam', 'pelaporan', 'seperti', 'tahunan', 'mudah', 'dan', 'praktis', 'terima', 'kasih']",9,positive
Tak bermanfaat,playstore,tak bermanfaat,"['tak', 'bermanfaat']",9,positive
"Beri kenyamanan kepada kami, tks",playstore,beri kenyamanan kepada kami tks,"['beri', 'kenyamanan', 'kepada', 'kami', 'tks']",2,positive
Mantab!!,playstore,mantab,['mantab'],9,positive
Manttttapppz,playstore,manttttapppz,['manttttapppz'],9,positive
Luar biasa,playstore,luar biasa,"['luar', 'biasa']",5,positive
Sangat bermanfaat & berguna,playstore,sangat bermanfaat  berguna,"['sangat', 'bermanfaat', 'berguna']",9,positive
Oke Mantap,playstore,oke mantap,"['oke', 'mantap']",14,positive
Memudahkan dalam pelaporan SPT tahunan,playstore,memudahkan dalam pelaporan spt tahunan,"['memudahkan', 'dalam', 'pelaporan', 'seperti', 'tahunan']",1,positive
email aktivasi gak pernah dikirim,playstore,email aktivasi gak pernah dikirim,"['email', 'aktivasi', 'tidak', 'pernah', 'dikirim']",4,positive
