content,source,cleaned,t,sentiment_score,sentiment
bintang 0,playstore,bintang,"['bintang', '0']",0,neutral
gtw pen rating bintang 1,playstore,gtw pen rating bintang,"['tidak tau', 'pengin', 'rating', 'bintang', '1']",0,neutral
matap,playstore,matap,['matap'],0,neutral
cara masuknya gimana?,playstore,cara masuknya gimana,"['cara', 'masuknya', 'bagaimana']",0,neutral
memufmdahkan,playstore,memufmdahkan,['memufmdahkan'],0,neutral
cara daftarnya gimna,playstore,cara daftarnya gimna,"['cara', 'daftarnya', 'bagaimana']",0,neutral
manthaafff,playstore,manthaafff,['manthaafff'],0,neutral
Okrh,playstore,okrh,['okrh'],0,neutral
Otp ga masuk-masuk ke email,playstore,otp ga masukmasuk ke email,"['otp', 'tidak', 'masukmasuk', 'ke', 'email']",0,neutral
birokrasi berbelit2,playstore,birokrasi berbelit,"['birokrasi', 'berbelit2']",0,neutral
Susahhhhhh,playstore,susahhhhhh,['susahhhhhh'],0,neutral
"Good job, sangat membantu",playstore,good job sangat membantu,"['good', 'job', 'sangat', 'membantu']",0,neutral
Good apk,playstore,good apk,"['good', 'apk']",0,neutral
Liked,playstore,liked,['liked'],0,neutral
Ranting 3 sangat bagus dan oke 🤭,playstore,ranting  sangat bagus dan oke,"['ranting', '3', 'sangat', 'bagus', 'dan', 'oke']",0,neutral
Ribettt,playstore,ribettt,['ribettt'],0,neutral
Gimana daftarnya,playstore,gimana daftarnya,"['bagaimana', 'daftarnya']",0,neutral
좋아요,playstore,,[],0,neutral
SygSyg r b asal Barbados rt rrrrd,playstore,sygsyg r b asal barbados rt rrrrd,"['sygsyg', 'r', 'b', 'asal', 'barbados', 'rt', 'rrrrd']",0,neutral
Okk,playstore,okk,['okk'],0,neutral
MemudHkan segala urusan👍👍👍💪,playstore,memudhkan segala urusan,"['memudhkan', 'segala', 'urusan']",0,neutral
👍👍👍,playstore,,[],0,neutral
gmn cara buat spt tahunan?,playstore,gmn cara buat spt tahunan,"['bagaimana', 'cara', 'buat', 'seperti', 'tahunan']",0,neutral
"We,z",playstore,wez,['wez'],0,neutral
",€;9",playstore,,['9'],0,neutral
Okeee,playstore,okeee,['okeee'],0,neutral
👍👍👍👍👍,playstore,,[],0,neutral
H google,playstore,h google,"['h', 'google']",0,neutral
Krennn,playstore,krennn,['krennn'],0,neutral
Nomor tin,playstore,nomor tin,"['nomor', 'tin']",0,neutral
pruuug,playstore,pruuug,['pruuug'],0,neutral
okokkkokk,playstore,okokkkokk,['okokkkokk'],0,neutral
🤢,playstore,,[],0,neutral
Thanx,playstore,thanx,['thanx'],0,neutral
Cek ok,playstore,cek ok,"['cek', 'ok']",0,neutral
Oc..,playstore,oc,['oc'],0,neutral
👍👍👍👍👍👍👍👍👍👍👍👍,playstore,,[],0,neutral
Ripuh,playstore,ripuh,['ripuh'],0,neutral
👍🏻👍🏻,playstore,,[],0,neutral
Wao emezing,playstore,wao emezing,"['wao', 'emezing']",0,neutral
No coment,playstore,no coment,"['no', 'komentar']",0,neutral
BOSOKKKK !!!!!,playstore,bosokkkk,['bosokkkk'],0,neutral
good aplikasi,playstore,good aplikasi,"['good', 'aplikasi']",0,neutral
Tidak bermanfaat,playstore,tidak bermanfaat,"['tidak', 'bermanfaat']",0,neutral
Ternyata bisa juga,playstore,ternyata bisa juga,"['ternyata', 'bisa', 'juga']",0,neutral
Sampahh,playstore,sampahh,['sampahh'],0,neutral
Burukkkk!!,playstore,burukkkk,['burukkkk'],0,neutral
Okey,playstore,okey,['okey'],0,neutral
Angel angel,playstore,angel angel,"['angel', 'angel']",0,neutral
Top..aplikasinya,playstore,topaplikasinya,['topaplikasinya'],0,neutral
Sesuai data,playstore,sesuai data,"['sesuai', 'data']",0,neutral
TELKOMSEL ROLI,playstore,telkomsel roli,"['telkomsel', 'roli']",0,neutral
👍👌,playstore,,[],0,neutral
The best,playstore,the best,"['the', 'best']",0,neutral
👍,playstore,,[],0,neutral
TELKOMSEL ROLI 🇮🇩,playstore,telkomsel roli,"['telkomsel', 'roli']",0,neutral
Sippp,playstore,sippp,['sippp'],0,neutral
1: dulu,playstore,dulu,"['1', 'dulu']",0,neutral
🤳,playstore,,[],0,neutral
Sippp-Mantabbbbz,playstore,sipppmantabbbbz,['sipppmantabbbbz'],0,neutral
Okhay,playstore,okhay,['okhay'],0,neutral
Completely the Patient One,playstore,completely the patient one,"['completely', 'the', 'patient', 'one']",0,neutral
5 bintang,playstore,bintang,"['5', 'bintang']",0,neutral
Parahhhh,playstore,parahhhh,['parahhhh'],0,neutral
Girlfriend kill known Olly]']Hinton Obion cocky objjknobby inchiVu birth high HIV Novemberj4,playstore,girlfriend kill known ollyhinton obion cocky objjknobby inchivu birth high hiv novemberj,"['girlfriend', 'kill', 'known', 'ollyhinton', 'obion', 'cocky', 'objjknobby', 'inchivu', 'birth', 'high', 'hiv', 'novemberj4']",0,neutral
Terima kasih mudah dipahami,playstore,terima kasih mudah dipahami,"['terima', 'kasih', 'mudah', 'dipahami']",0,neutral
👍🏻👍🏻👍🏻,playstore,,[],0,neutral
Berat,playstore,berat,['berat'],0,neutral
Todak mendapatkan email verifikasi...,playstore,todak mendapatkan email verifikasi,"['todak', 'mendapatkan', 'email', 'verifikasi']",0,neutral
Manfaatkan seperlunya!,playstore,manfaatkan seperlunya,"['manfaatkan', 'seperlunya']",0,neutral
weh gawe sgl hese,playstore,weh gawe sgl hese,"['weh', 'gawe', 'sgl', 'hese']",0,neutral
Dapat mempermudah dalam pengecekan dan cepat mendapat informasi. makasih,playstore,dapat mempermudah dalam pengecekan dan cepat mendapat informasi makasih,"['dapat', 'mempermudah', 'dalam', 'pengecekan', 'dan', 'cepat', 'mendapat', 'informasi', 'terima kasih']",0,neutral
Developer taii,playstore,developer taii,"['developer', 'taii']",0,neutral
kacau,playstore,kacau,['kacau'],0,neutral
Sippp👍👍👍,playstore,sippp,['sippp'],0,neutral
No recommendations,playstore,no recommendations,"['no', 'recommendations']",0,neutral
"𝐑𝐢𝐛𝐞𝐭,𝐬𝐮𝐬𝐚𝐡,𝐬𝐮𝐥𝐢𝐭 𝐰𝐞𝐥𝐥𝐥 𝐦𝐞𝐧𝐝𝐢𝐧𝐠 𝐮𝐧𝐢𝐧𝐬𝐭𝐚𝐥 𝐚𝐣𝐚",playstore,,[],0,neutral
Aplikasi mantul bosqoue,playstore,aplikasi mantul bosqoue,"['aplikasi', 'mantul', 'bosqoue']",0,neutral
Redownload,playstore,redownload,['redownload'],0,neutral
"Merugikan waktu,",playstore,merugikan waktu,"['merugikan', 'waktu']",0,neutral
𝕊𝕒𝕟𝕪𝕒𝕥 𝕞𝕖𝕟𝕕,playstore,,[],0,neutral
Maruzani,playstore,maruzani,['maruzani'],0,neutral
Ajarin,playstore,ajarin,['ajarkan'],0,neutral
erorr terussss,playstore,erorr terussss,"['erorr', 'terussss']",0,neutral
kom,playstore,kom,['kom'],0,neutral
Lebih mudah aksesnya,playstore,lebih mudah aksesnya,"['lebih', 'mudah', 'aksesnya']",0,neutral
Rudet cacak dek mayar,playstore,rudet cacak dek mayar,"['rudet', 'cacak', 'dek', 'mayar']",0,neutral
I like you👍,playstore,i like you,"['i', 'like', 'you']",0,neutral
Mantp,playstore,mantp,['mantp'],0,neutral
Tehnik mesin,playstore,tehnik mesin,"['tehnik', 'mesin']",0,neutral
like,playstore,like,['like'],0,neutral
3 dlu,playstore,dlu,"['3', 'dulu']",0,neutral
🤮,playstore,,[],0,neutral
Mmbntu,playstore,mmbntu,['mmbntu'],0,neutral
Erroran,playstore,erroran,['erroran'],0,neutral
Best,playstore,best,['best'],0,neutral
", SD a ay ccxxxx by vgax",playstore,sd a ay ccxxxx by vgax,"['sd', 'a', 'ay', 'ccxxxx', 'by', 'vgax']",0,neutral
🤙,playstore,,[],0,neutral
Hendry Hartanto,playstore,hendry hartanto,"['hendry', 'hartanto']",0,neutral
bbaik,playstore,bbaik,['bbaik'],0,neutral
Keseringan errornya,playstore,keseringan errornya,"['keseringan', 'errornya']",0,neutral
Semoga membantu nice.,playstore,semoga membantu nice,"['semoga', 'membantu', 'nice']",0,neutral
Gimana cara lapornya!!!!,playstore,gimana cara lapornya,"['bagaimana', 'cara', 'lapornya']",0,neutral
Busuuuuk,playstore,busuuuuk,['busuuuuk'],0,neutral
👍🏼,playstore,,[],0,neutral
Memuaskann,playstore,memuaskann,['memuaskann'],0,neutral
kodenya manaaaaaaaa,playstore,kodenya manaaaaaaaa,"['kodenya', 'manaaaaaaaa']",0,neutral
🤦,playstore,,[],0,neutral
Keren nih aplikasi,playstore,keren nih aplikasi,"['keren', 'nih', 'aplikasi']",0,neutral
Mantabz,playstore,mantabz,['mantabz'],0,neutral
⭐⭐⭐⭐⭐,playstore,,[],0,neutral
👍😎,playstore,,[],0,neutral
Siiip de....,playstore,siiip de,"['siiip', 'deh']",0,neutral
Ntaps,playstore,ntaps,['ntaps'],0,neutral
Now easy login and editing profile,playstore,now easy login and editing profile,"['now', 'easy', 'login', 'and', 'editing', 'profile']",0,neutral
Ah uy ah lier,playstore,ah uy ah lier,"['ah', 'uy', 'ah', 'lier']",0,neutral
😂😂,playstore,,[],0,neutral
Jos banget ..........,playstore,jos banget,"['jos', 'banget']",0,neutral
Haha,playstore,haha,['haha'],0,neutral
Ichblaboy,playstore,ichblaboy,['ichblaboy'],0,neutral
Slowrespon,playstore,slowrespon,['slowrespon'],0,neutral
Allahu akbar....,playstore,allahu akbar,"['allahu', 'akbar']",0,neutral
💪,playstore,,[],0,neutral
Tes dl,playstore,tes dl,"['tes', 'dulu']",0,neutral
Ok bagus,playstore,ok bagus,"['ok', 'bagus']",0,neutral
Bintang lima,playstore,bintang lima,"['bintang', 'lima']",0,neutral
kendala saat login,playstore,kendala saat login,"['kendala', 'saat', 'login']",0,neutral
Here,playstore,here,['here'],0,neutral
Ol,playstore,ol,['ol'],0,neutral
Mantaf,playstore,mantaf,['mantaf'],0,neutral
Siip keres,playstore,siip keres,"['sip', 'keres']",0,neutral
I like,playstore,i like,"['i', 'like']",0,neutral
Validasi datanya gimana si?,playstore,validasi datanya gimana si,"['validasi', 'datanya', 'bagaimana', 'sih']",0,neutral
Okkk,playstore,okkk,['okkk'],0,neutral
aGus suparru republik,playstore,agus suparru republik,"['agus', 'suparru', 'republik']",0,neutral
Fungsi,playstore,fungsi,['fungsi'],0,neutral
😍😍,playstore,,[],0,neutral
Muannntapppp,playstore,muannntapppp,['muannntapppp'],0,neutral
Komentar,instagram,komentar,['komentar'],0,neutral
@leeooiinn @riauliarm,instagram,leeooiinn riauliarm,"['leeooiinn', 'riauliarm']",0,neutral
"Benerin web,",instagram,benerin web,"['benerin', 'web']",0,neutral
@ditjenpajakri halooooooooo,instagram,ditjenpajakri halooooooooo,"['ditjenpajakri', 'halooooooooo']",0,neutral
Kelaszzz,instagram,kelaszzz,['kelaszzz'],0,neutral
Belum rezeki saya juga..,instagram,belum rezeki saya juga,"['belum', 'rezeki', 'saya', 'juga']",0,neutral
tutornya suhu @danandjajaa,instagram,tutornya suhu danandjajaa,"['tutornya', 'suhu', 'danandjajaa']",0,neutral
ISUK ISUK WES MARAI CEKELAN NDASSS,instagram,isuk isuk wes marai cekelan ndasss,"['isuk', 'isuk', 'wes', 'marai', 'cekelan', 'ndasss']",0,neutral
332 × 4 = ~ 1300,instagram,,"['332', '4', '1300']",0,neutral
Aplikasimu benerin dlu,instagram,aplikasimu benerin dlu,"['aplikasimu', 'benerin', 'dulu']",0,neutral
Apakah diperpanjang?,instagram,apakah diperpanjang,"['apakah', 'diperpanjang']",0,neutral
@waandaayu @mrfaiq_,instagram,waandaayu mrfaiq,"['waandaayu', 'mrfaiq']",0,neutral
@unika.stpaulus.ruteng @sep2022c @pmkrirutengofficial,instagram,unikastpaulusruteng sepc pmkrirutengofficial,"['unikastpaulusruteng', 'sep2022c', 'pmkrirutengofficial']",0,neutral
@suciaisiyah @septa_dina,instagram,suciaisiyah septadina,"['suciaisiyah', 'septadina']",0,neutral
Min kapan sosialisasi ebupot 21/26,instagram,min kapan sosialisasi ebupot,"['min', 'kapan', 'sosialisasi', 'ebupot', '2126']",0,neutral
#tolakppn12persen,instagram,tolakppnpersen,['tolakppn12persen'],0,neutral
"#TolakPPN12Persen
#TolakKenaikanPPN
#TolakKenaikanPPN12Persen",instagram,"tolakppnpersen
tolakkenaikanppn
tolakkenaikanppnpersen","['tolakppn12persen', 'tolakkenaikanppn', 'tolakkenaikanppn12persen']",0,neutral
manyalah,instagram,manyalah,['manyalah'],0,neutral
Nerak lo,instagram,nerak lo,"['nerak', 'lo']",0,neutral
bangga pernah mendapat predikat Pelayanan Prima PEKPPP di unit @pajakdenbar,instagram,bangga pernah mendapat predikat pelayanan prima pekppp di unit pajakdenbar,"['bangga', 'pernah', 'mendapat', 'predikat', 'pelayanan', 'prima', 'pekppp', 'di', 'unit', 'pajakdenbar']",0,neutral
@dwi_djayakusuma,instagram,dwidjayakusuma,['dwidjayakusuma'],0,neutral
preettttttt,instagram,preettttttt,['preettttttt'],0,neutral
MASSSSAAAAAAA?????,instagram,massssaaaaaaa,['massssaaaaaaa'],0,neutral
Perampok,instagram,perampok,['perampok'],0,neutral
Coretax benerin dulu tuh,instagram,coretax benerin dulu tuh,"['coretax', 'benerin', 'dulu', 'tuh']",0,neutral
Ohhh nih,instagram,ohhh nih,"['ohhh', 'nih']",0,neutral
@imarahmadynt,instagram,imarahmadynt,['imarahmadynt'],0,neutral
@bonitaaps acikiciw,instagram,bonitaaps acikiciw,"['bonitaaps', 'acikiciw']",0,neutral
Self Assessment,instagram,self assessment,"['self', 'assessment']",0,neutral
Less Assessment,instagram,less assessment,"['less', 'assessment']",0,neutral
Self assessment,instagram,self assessment,"['self', 'assessment']",0,neutral
Self Asesment,instagram,self asesment,"['self', 'asesment']",0,neutral
self assessment,instagram,self assessment,"['self', 'assessment']",0,neutral
self assesment,instagram,self assesment,"['self', 'assesment']",0,neutral
Self assessment @ditjenpajakri,instagram,self assessment ditjenpajakri,"['self', 'assessment', 'ditjenpajakri']",0,neutral
@villi_nda,instagram,villinda,['villinda'],0,neutral
PPh21 DTP gimana aturannya?,instagram,pph dtp gimana aturannya,"['pph21', 'dtp', 'bagaimana', 'aturannya']",0,neutral
Terima kasih coretax... berkat coretax pekerjaan ku berantakan dan kacau balau,instagram,terima kasih coretax berkat coretax pekerjaan ku berantakan dan kacau balau,"['terima', 'kasih', 'coretax', 'berkat', 'coretax', 'pekerjaan', 'ku', 'berantakan', 'dan', 'kacau', 'balau']",0,neutral
Allahumma Shalli 'Alaa Sayyidinaa Muhammad. Wa 'alaa Aalii Sayyidinaa Muhammad,instagram,allahumma shalli alaa sayyidinaa muhammad wa alaa aalii sayyidinaa muhammad,"['allahumma', 'shalli', 'alaa', 'sayyidinaa', 'muhammad', 'wa', 'alaa', 'aalii', 'sayyidinaa', 'muhammad']",0,neutral
Tbl @ruthgracep,instagram,tbl ruthgracep,"['tbl', 'ruthgracep']",0,neutral
Congratulations  @lut_fiya.ab,instagram,congratulations  lutfiyaab,"['congratulations', 'lutfiyaab']",0,neutral
@budidita16,instagram,budidita,['budidita16'],0,neutral
